idx,instance_id,db,doc_name,doc_missing,question,steps_path,sql_path,report_path,ok_steps,ok_sql,err_steps,err_sql,latency_steps_s,latency_sql_s
0,bq011,ga4,ga4_obfuscated_sample_ecommerce.events.md,False,"How many pseudo users were active in the last 7 days but inactive in the last 2 days as of January 7, 2021?",,,,False,False,"OpenAI call failed after retries. Last error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-********************************************************************************************************************************************************hUkA. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",,19.76,
1,bq010,ga360,google_analytics_sample.ga_sessions.md,False,"Find the top-selling product among customers who bought 'Youtube Menâ€™s Vintage Henley' in July 2017, excluding itself.",,,,False,False,"OpenAI call failed after retries. Last error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-********************************************************************************************************************************************************hUkA. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",,20.24,
2,bq001,ga360,google_analytics_sample.ga_sessions.md,False,"I wonder how many days between the first transaction and the first visit both in Feburary 2017 for each transacting visitor, along with the device used in the transaction.",,,,False,False,"OpenAI call failed after retries. Last error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-********************************************************************************************************************************************************hUkA. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",,20.21,
3,bq008,ga360,google_analytics_sample.ga_sessions.md,False,"What's the most common next page for visitors who were part of ""Data Share"" campaign and after they accessed the page starting with '/home' in January 2017. And what's the maximum duration time (in seconds) when they visit the corresponding home page?",,,,False,False,"OpenAI call failed after retries. Last error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-********************************************************************************************************************************************************hUkA. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",,19.78,
4,bq268,ga360,,True,Identify the longest number of days between the first visit and the last recorded event (either the last visit or the first transaction) for a user where the last recorded event was associated with a mobile device.,,,,False,False,doc_missing (skipped),,,
5,bq270,ga360,ga360_hits.eCommerceAction.action_type.md,False,"What were the monthly add-to-cart and purchase conversion rates, calculated as a percentage of pageviews on product details, from January to March 2017?",,,,False,False,"OpenAI call failed after retries. Last error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-********************************************************************************************************************************************************hUkA. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",,19.65,
6,bq275,ga360,,True,Can you provide a list of visitor IDs for those who made their first transaction on a mobile device on a different day than their first visit?,,,,False,False,doc_missing (skipped),,,
7,bq374,ga360,,True,"Calculates the percentage of new users who, between August 1, 2016, and April 30, 2017, both stayed on the site for more than 5 minutes during their initial visit and made a purchase on a subsequent visit at any later time, relative to the total number of new users in the same period.",,,,False,False,doc_missing (skipped),,,
8,sf_bq091,PATENTS,,True,In which year did the assignee with the most applications in the patent category 'A61' file the most?,,,,False,False,doc_missing (skipped),,,
9,sf_bq099,PATENTS,,True,"For patent class A01B3, I want to analyze the information of the top 3 assignees based on the total number of applications. Please provide the following five pieces of information: the name of this assignee,  total number of applications, the year with the most applications, the number of applications in that year, and the country code with the most applications during that year.",,,,False,False,doc_missing (skipped),,,
